analysis_sample,method,matrix,matrix_name,d_hamming,coverage_threshold,equal_candidate,equal_element,both_not_reached,same_result,difference_candidate_minus_element,abs_difference
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,2,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,3,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,3,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,3,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,3,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,4,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,4,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,4,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,4,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,5,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,5,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,5,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,5,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,6,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,6,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,6,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,6,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,7,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,7,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,7,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,7,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,8,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,8,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,8,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,8,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,9,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,9,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,9,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,9,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,10,80,6,7,FALSE,FALSE,-1,1
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,10,85,9,11,FALSE,FALSE,-2,2
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,10,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,POS,matrix_32_pos_0_1,10,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,0,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,0,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,0,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,0,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,1,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,1,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,1,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,1,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,2,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,2,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,2,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,2,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,3,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,3,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,3,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,3,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,4,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,4,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,4,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,4,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,5,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,5,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,5,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,5,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,6,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,6,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,6,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,6,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,7,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,7,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,7,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,7,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,8,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,8,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,8,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,8,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,9,80,10,12,FALSE,FALSE,-2,2
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,9,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,9,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,9,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,10,80,5,6,FALSE,FALSE,-1,1
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,10,85,8,8,FALSE,TRUE,0,0
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,10,90,10,NA,FALSE,FALSE,NA,NA
WHY_EUROPE,EFA,RAW,matrix_32_raw_0_1,10,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,0,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,0,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,0,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,0,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,1,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,1,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,1,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,1,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,2,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,2,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,2,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,2,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,3,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,3,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,3,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,3,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,4,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,4,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,4,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,4,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,5,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,5,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,5,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,5,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,6,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,6,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,6,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,6,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,7,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,7,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,7,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,7,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,8,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,8,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,8,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,8,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,9,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,9,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,9,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,9,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,10,80,12,NA,FALSE,FALSE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,10,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,10,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,EFA,Z_ABS,matrix_32_z_abs,10,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,0,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,0,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,0,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,0,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,1,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,1,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,1,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,1,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,2,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,2,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,2,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,2,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,3,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,3,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,3,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,3,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,4,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,4,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,4,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,4,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,5,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,5,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,5,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,5,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,6,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,6,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,6,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,6,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,7,80,10,12,FALSE,FALSE,-2,2
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,7,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,7,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,7,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,8,80,4,4,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,8,85,6,9,FALSE,FALSE,-3,3
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,8,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,8,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,9,80,3,3,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,9,85,3,3,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,9,90,5,5,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,9,95,11,NA,FALSE,FALSE,NA,NA
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,10,80,2,2,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,10,85,3,3,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,10,90,3,4,FALSE,FALSE,-1,1
WHY_EUROPE,KMEANS,EXT,matrix_32_ext_0_1,10,95,5,6,FALSE,FALSE,-1,1
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,0,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,0,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,0,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,0,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,1,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,1,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,1,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,1,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,2,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,2,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,2,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,2,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,3,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,3,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,3,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,3,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,4,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,4,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,4,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,4,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,5,80,6,8,FALSE,FALSE,-2,2
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,5,85,10,11,FALSE,FALSE,-1,1
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,5,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,5,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,6,80,3,3,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,6,85,3,4,FALSE,FALSE,-1,1
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,6,90,6,6,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,6,95,10,11,FALSE,FALSE,-1,1
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,7,80,2,2,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,7,85,2,2,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,7,90,3,3,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,7,95,5,6,FALSE,FALSE,-1,1
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,8,80,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,8,85,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,8,90,2,2,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,8,95,3,3,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,9,80,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,9,85,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,9,90,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,9,95,2,2,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,10,80,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,10,85,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,10,90,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,POS,matrix_32_pos_0_1,10,95,1,1,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,0,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,0,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,0,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,0,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,1,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,1,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,1,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,1,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,2,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,2,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,2,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,2,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,3,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,3,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,3,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,3,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,4,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,4,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,4,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,4,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,5,80,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,5,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,5,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,5,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,6,80,10,12,FALSE,FALSE,-2,2
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,6,85,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,6,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,6,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,7,80,4,4,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,7,85,4,7,FALSE,FALSE,-3,3
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,7,90,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,7,95,NA,NA,TRUE,TRUE,NA,NA
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,8,80,3,3,FALSE,TRUE,0,0
WHY_EUROPE,KMEANS,RAW,matrix_32_raw_0_1,8,85,3,4,FALSE,FALSE,-1,1
